transaction_id,customer_id,product_id,product_name,category,unit_price,quantity,total_amount,discount_percent,transaction_date,payment_method,status,shipping_address_state,device,session_id,revenue,shipping_cost
TXN000020,802,104,Python Programming Book,Books,45.0,1,45.0,0,2025-06-20 14:58:30,Apple Pay,Completed,FL,Desktop,SES861718,13.5,13.57
TXN000021,506,114,Resistance Bands Set,Sports,19.99,2,39.98,0,2025-04-24 14:58:30,PayPal,Completed,TX,Tablet,SES171565,11.99,1.39
TXN000022,55,117,Portable Charger 20000mAh,Electronics,39.99,1,39.99,0,2025-09-01 14:58:30,PayPal,Pending,NY,Desktop,SES128334,12.0,10.39
TXN000023,299,112,Mechanical Keyboard,Electronics,119.99,3,359.97,0,2025-05-20 14:58:30,Credit Card,Pending,CA,Mobile,SES321797,107.99,14.36
TXN000024,682,107,LED Desk Lamp,Electronics,38.69,1,38.69,10,2025-10-12 14:58:30,PayPal,Completed,NY,Desktop,SES984272,11.61,7.92
TXN000025,839,104,Python Programming Book,Books,40.5,1,40.5,10,2025-03-19 14:58:30,PayPal,Refunded,FL,Tablet,SES980817,12.15,6.75
TXN000026,839,116,Smart Home Speaker,Electronics,99.99,1,99.99,0,2024-03-09 14:58:30,Debit Card,Completed,GA,Mobile,SES115121,30.0,14.15
TXN000027,607,116,Smart Home Speaker,Electronics,99.99,1,99.99,0,2025-07-28 14:58:30,Apple Pay,Completed,WA,Mobile,SES219129,30.0,14.6
TXN000028,911,110,Fitness Tracker Watch,Electronics,149.99,1,149.99,0,2024-03-13 14:58:30,Debit Card,Cancelled,NY,Tablet,SES954855,45.0,9.8
TXN000029,867,108,Coffee Maker 12-Cup,Home & Kitchen,89.99,1,89.99,0,2025-02-12 14:58:30,Debit Card,Completed,GA,Mobile,SES551316,27.0,10.56
TXN000030,519,102,Organic Green Tea (50 bags),Groceries,9.99,1,9.99,20,2024-08-02 14:58:30,Google Pay,Completed,CA,Desktop,SES860533,3.0,6.34
TXN000031,529,106,Yoga Mat Premium,Sports,35.99,1,35.99,0,2025-10-10 14:58:30,Credit Card,Cancelled,CA,Mobile,SES829405,10.8,10.47
TXN000032,533,102,Organic Green Tea (50 bags),Groceries,11.24,1,11.24,10,2024-01-26 14:58:30,Debit Card,Completed,MA,Desktop,SES543699,3.37,9.11
TXN000033,110,104,Python Programming Book,Books,33.75,1,33.75,25,2025-09-19 14:58:30,PayPal,Refunded,WA,Mobile,SES875371,10.12,5.6
TXN000034,736,105,Stainless Steel Water Bottle,Home & Kitchen,21.24,1,21.24,15,2024-12-23 14:58:30,PayPal,Pending,FL,Mobile,SES751697,6.37,13.19
TXN000035,801,115,Noise Cancelling Earbuds,Electronics,169.99,1,169.99,15,2025-09-05 14:58:30,Google Pay,Completed,IL,Desktop,SES654057,51.0,0.79
TXN000036,1020,119,Instant Pot 6-Quart,Home & Kitchen,89.99,1,89.99,0,2024-09-10 14:58:30,Google Pay,Cancelled,GA,Mobile,SES498201,27.0,5.14
TXN000037,1014,117,Portable Charger 20000mAh,Electronics,39.99,1,39.99,0,2023-12-18 14:58:30,Debit Card,Completed,CA,Desktop,SES564929,12.0,1.9
TXN000038,942,110,Fitness Tracker Watch,Electronics,149.99,1,149.99,0,2024-01-23 14:58:30,Debit Card,Completed,AZ,Mobile,SES115988,45.0,2.66
TXN000039,1055,107,LED Desk Lamp,Electronics,42.99,1,42.99,0,2025-03-03 14:58:30,Google Pay,Completed,TX,Tablet,SES418002,12.9,5.9
TXN000040,520,110,Fitness Tracker Watch,Electronics,149.99,2,299.98,0,2024-03-21 14:58:30,Debit Card,Pending,CO,Mobile,SES683631,89.99,0.26
TXN000041,113,120,Data Science Handbook,Books,50.99,1,50.99,15,2024-11-02 14:58:30,Debit Card,Completed,PA,Mobile,SES586231,15.3,12.99
TXN000042,489,120,Data Science Handbook,Books,59.99,1,59.99,0,2025-02-03 14:58:30,Debit Card,Completed,FL,Mobile,SES843987,18.0,3.96
TXN000043,177,103,Running Shoes - Nike Air,Sports,116.99,2,233.98,10,2024-02-22 14:58:30,PayPal,Completed,IL,Desktop,SES456685,70.19,10.51
TXN000044,815,115,Noise Cancelling Earbuds,Electronics,199.99,1,199.99,0,2024-11-19 14:58:30,Debit Card,Refunded,GA,Mobile,SES912483,60.0,8.0
TXN000045,194,119,Instant Pot 6-Quart,Home & Kitchen,80.99,1,80.99,10,2025-09-22 14:58:30,PayPal,Completed,FL,Desktop,SES180874,24.3,7.04
TXN000046,485,113,Air Purifier HEPA,Home & Kitchen,159.99,1,159.99,20,2024-05-28 14:58:30,Apple Pay,Refunded,TX,Mobile,SES568615,48.0,12.67
TXN000047,665,112,Mechanical Keyboard,Electronics,101.99,1,101.99,15,2025-09-21 14:58:30,Apple Pay,Completed,AZ,Mobile,SES265670,30.6,12.25
TXN000048,150,115,Noise Cancelling Earbuds,Electronics,179.99,1,179.99,10,2024-10-20 14:58:30,Google Pay,Cancelled,MA,Mobile,SES552659,54.0,11.03
TXN000049,309,106,Yoga Mat Premium,Sports,30.59,1,30.59,15,2025-08-11 14:58:30,Debit Card,Cancelled,WA,Tablet,SES986774,9.18,0.74
TXN000050,376,113,Air Purifier HEPA,Home & Kitchen,179.99,1,179.99,10,2024-01-25 14:58:30,Apple Pay,Cancelled,WA,Mobile,SES370692,54.0,0.7
TXN000051,389,109,Wireless Mouse,Electronics,26.99,1,26.99,10,2025-01-17 14:58:30,Apple Pay,Cancelled,PA,Mobile,SES611795,8.1,7.27
TXN000052,613,104,Python Programming Book,Books,40.5,1,40.5,10,2024-04-12 14:58:30,PayPal,Completed,IL,Desktop,SES128287,12.15,10.1
TXN000053,277,111,Organic Protein Powder,Health,49.49,1,49.49,10,2024-11-10 14:58:30,PayPal,Completed,WA,Desktop,SES378755,14.85,10.48
TXN000054,408,109,Wireless Mouse,Electronics,29.99,1,29.99,0,2025-03-07 14:58:30,PayPal,Cancelled,CO,Desktop,SES486818,9.0,9.69
TXN000055,334,116,Smart Home Speaker,Electronics,89.99,1,89.99,10,2025-01-17 14:58:30,PayPal,Cancelled,MA,Mobile,SES857069,27.0,2.02
TXN000056,1049,110,Fitness Tracker Watch,Electronics,134.99,1,134.99,10,2025-05-21 14:58:30,Credit Card,Refunded,MA,Mobile,SES193367,40.5,2.55
TXN000057,79,115,Noise Cancelling Earbuds,Electronics,199.99,1,199.99,0,2024-06-18 14:58:30,Credit Card,Completed,TX,Desktop,SES446477,60.0,13.13
TXN000058,760,116,Smart Home Speaker,Electronics,99.99,2,199.98,0,2025-10-30 14:58:30,Credit Card,Refunded,CA,Mobile,SES633060,59.99,3.15
TXN000059,733,107,LED Desk Lamp,Electronics,38.69,1,38.69,10,2025-10-06 14:58:30,Apple Pay,Completed,TX,Mobile,SES299070,11.61,9.62
TXN000060,811,116,Smart Home Speaker,Electronics,99.99,1,99.99,0,2024-06-26 14:58:30,Credit Card,Completed,MI,Mobile,SES569364,30.0,0.32
TXN000061,707,101,Wireless Bluetooth Headphones,Electronics,79.99,1,79.99,0,2025-07-30 14:58:30,Apple Pay,Completed,TX,Desktop,SES544546,24.0,5.49
TXN000062,590,113,Air Purifier HEPA,Home & Kitchen,199.99,1,199.99,0,2025-09-14 14:58:30,PayPal,Completed,TX,Desktop,SES593820,60.0,2.01
TXN000063,181,118,Hiking Backpack 40L,Sports,79.99,1,79.99,0,2024-08-02 14:58:30,PayPal,Completed,AZ,Desktop,SES282298,24.0,1.72
TXN000064,110,107,LED Desk Lamp,Electronics,42.99,1,42.99,0,2025-07-07 14:58:30,Google Pay,Refunded,FL,Mobile,SES945641,12.9,10.69
TXN000065,252,110,Fitness Tracker Watch,Electronics,149.99,1,149.99,0,2025-01-03 14:58:30,Apple Pay,Cancelled,NY,Desktop,SES672974,45.0,3.74
TXN000066,95,118,Hiking Backpack 40L,Sports,79.99,2,159.98,0,2025-02-20 14:58:30,Credit Card,Refunded,PA,Mobile,SES906863,47.99,13.38
TXN000067,856,107,LED Desk Lamp,Electronics,36.54,3,109.62,15,2025-01-15 14:58:30,Google Pay,Completed,MA,Mobile,SES235392,32.89,4.94
TXN000068,655,107,LED Desk Lamp,Electronics,42.99,2,85.98,0,2025-09-21 14:58:30,PayPal,Completed,TX,Mobile,SES626504,25.79,8.19
TXN000069,19,119,Instant Pot 6-Quart,Home & Kitchen,89.99,1,89.99,0,2025-01-15 14:58:30,Google Pay,Pending,CA,Tablet,SES261468,27.0,0.47
TXN000070,773,105,Stainless Steel Water Bottle,Home & Kitchen,21.24,1,21.24,15,2024-04-12 14:58:30,Debit Card,Cancelled,MA,Mobile,SES842315,6.37,5.59
TXN000071,357,120,Data Science Handbook,Books,53.99,1,53.99,10,2025-08-05 14:58:30,Google Pay,Refunded,IL,Desktop,SES978630,16.2,12.69
TXN000072,284,113,Air Purifier HEPA,Home & Kitchen,179.99,1,179.99,10,2025-07-13 14:58:30,Credit Card,Refunded,TX,Mobile,SES692204,54.0,2.65
TXN000073,765,120,Data Science Handbook,Books,59.99,1,59.99,0,2024-11-25 14:58:30,Apple Pay,Pending,MA,Desktop,SES822215,18.0,6.34
TXN000074,505,103,Running Shoes - Nike Air,Sports,129.99,1,129.99,0,2025-08-24 14:58:30,PayPal,Completed,IL,Mobile,SES239903,39.0,9.69
TXN000075,1024,110,Fitness Tracker Watch,Electronics,149.99,1,149.99,0,2024-10-28 14:58:30,Google Pay,Completed,TX,Desktop,SES263770,45.0,8.83
TXN000076,288,111,Organic Protein Powder,Health,49.49,1,49.49,10,2025-04-23 14:58:30,Debit Card,Pending,IL,Desktop,SES741069,14.85,8.92
TXN000077,193,115,Noise Cancelling Earbuds,Electronics,179.99,1,179.99,10,2024-09-16 14:58:30,PayPal,Refunded,TX,Mobile,SES771598,54.0,12.55
TXN000078,844,118,Hiking Backpack 40L,Sports,79.99,1,79.99,0,2024-05-30 14:58:30,Credit Card,Completed,FL,Desktop,SES587549,24.0,10.86
TXN000079,117,112,Mechanical Keyboard,Electronics,107.99,1,107.99,10,2024-11-23 14:58:30,Debit Card,Completed,TX,Mobile,SES151788,32.4,12.39
TXN000080,960,109,Wireless Mouse,Electronics,29.99,1,29.99,0,2024-06-17 14:58:30,PayPal,Completed,IL,Mobile,SES524693,9.0,6.07
TXN000081,898,111,Organic Protein Powder,Health,54.99,2,109.98,0,2025-01-06 14:58:30,Google Pay,Completed,CA,Desktop,SES970935,32.99,8.02
TXN000082,238,120,Data Science Handbook,Books,59.99,1,59.99,0,2024-09-19 14:58:30,PayPal,Completed,WA,Mobile,SES747465,18.0,8.33
TXN000083,506,105,Stainless Steel Water Bottle,Home & Kitchen,24.99,1,24.99,0,2025-04-29 14:58:30,Apple Pay,Completed,WA,Mobile,SES827619,7.5,11.71
TXN000084,725,103,Running Shoes - Nike Air,Sports,129.99,1,129.99,0,2024-03-05 14:58:30,Credit Card,Pending,AZ,Mobile,SES638746,39.0,10.97
TXN000085,932,101,Wireless Bluetooth Headphones,Electronics,71.99,1,71.99,10,2025-09-29 14:58:30,Google Pay,Pending,AZ,Mobile,SES981699,21.6,11.73
TXN000086,274,120,Data Science Handbook,Books,50.99,1,50.99,15,2024-03-14 14:58:30,Credit Card,Completed,CA,Mobile,SES539893,15.3,7.19
TXN000087,179,104,Python Programming Book,Books,40.5,2,81.0,10,2025-02-01 14:58:30,Apple Pay,Completed,CO,Tablet,SES343612,24.3,14.82
TXN000088,1008,106,Yoga Mat Premium,Sports,32.39,1,32.39,10,2025-10-19 14:58:30,Google Pay,Refunded,MI,Desktop,SES673818,9.72,8.84
TXN000089,865,102,Organic Green Tea (50 bags),Groceries,11.24,1,11.24,10,2025-02-19 14:58:30,Apple Pay,Cancelled,TX,Mobile,SES293232,3.37,7.17
TXN000090,515,108,Coffee Maker 12-Cup,Home & Kitchen,71.99,3,215.97,20,2025-03-14 14:58:30,Apple Pay,Completed,IL,Mobile,SES784481,64.79,0.05
TXN000091,606,112,Mechanical Keyboard,Electronics,119.99,2,239.98,0,2024-05-27 14:58:30,Google Pay,Cancelled,WA,Mobile,SES868095,71.99,2.19
TXN000092,547,101,Wireless Bluetooth Headphones,Electronics,67.99,1,67.99,15,2025-05-10 14:58:30,Google Pay,Cancelled,MA,Mobile,SES812195,20.4,6.44
TXN000093,995,104,Python Programming Book,Books,45.0,1,45.0,0,2024-11-30 14:58:30,Google Pay,Pending,CA,Mobile,SES207738,13.5,1.7
TXN000094,432,105,Stainless Steel Water Bottle,Home & Kitchen,24.99,1,24.99,0,2025-10-26 14:58:30,Apple Pay,Completed,CA,Tablet,SES841850,7.5,14.08
TXN000095,216,101,Wireless Bluetooth Headphones,Electronics,79.99,1,79.99,0,2025-11-07 14:58:30,Debit Card,Completed,AZ,Desktop,SES730918,24.0,4.36
TXN000096,704,114,Resistance Bands Set,Sports,19.99,1,19.99,0,2025-09-06 14:58:30,Google Pay,Completed,FL,Mobile,SES149610,6.0,7.91
TXN000097,721,104,Python Programming Book,Books,45.0,2,90.0,0,2024-04-20 14:58:30,Apple Pay,Completed,IL,Desktop,SES504727,27.0,5.29
TXN000098,651,115,Noise Cancelling Earbuds,Electronics,169.99,1,169.99,15,2024-03-16 14:58:30,Apple Pay,Completed,CA,Mobile,SES487127,51.0,9.37
TXN000099,966,113,Air Purifier HEPA,Home & Kitchen,179.99,1,179.99,10,2024-03-07 14:58:30,Debit Card,Refunded,FL,Desktop,SES822086,54.0,10.94
TXN000100,88,107,LED Desk Lamp,Electronics,42.99,1,42.99,0,2025-08-04 14:58:30,Apple Pay,Completed,CA,Mobile,SES926992,12.9,0.56
TXN000101,266,104,Python Programming Book,Books,45.0,2,90.0,0,2025-04-25 14:58:30,Debit Card,Cancelled,MI,Desktop,SES613301,27.0,5.0
TXN000102,571,120,Data Science Handbook,Books,59.99,1,59.99,0,2024-04-04 14:58:30,Debit Card,Pending,GA,Desktop,SES387805,18.0,0.75
TXN000103,535,107,LED Desk Lamp,Electronics,34.39,1,34.39,20,2025-05-07 14:58:30,Credit Card,Pending,AZ,Desktop,SES642498,10.32,6.67
TXN000104,340,118,Hiking Backpack 40L,Sports,79.99,1,79.99,0,2024-03-23 14:58:30,Debit Card,Completed,MA,Mobile,SES181613,24.0,10.4
TXN000105,150,103,Running Shoes - Nike Air,Sports,129.99,1,129.99,0,2025-08-03 14:58:30,Credit Card,Refunded,PA,Mobile,SES201854,39.0,9.58
TXN000106,185,103,Running Shoes - Nike Air,Sports,129.99,1,129.99,0,2024-10-10 14:58:30,PayPal,Completed,FL,Tablet,SES808637,39.0,2.36
TXN000107,158,117,Portable Charger 20000mAh,Electronics,29.99,2,59.98,25,2025-10-26 14:58:30,Debit Card,Pending,FL,Mobile,SES113490,17.99,4.39
TXN000108,676,107,LED Desk Lamp,Electronics,36.54,1,36.54,15,2025-11-12 14:58:30,Debit Card,Completed,WA,Mobile,SES813290,10.96,8.58
TXN000109,687,102,Organic Green Tea (50 bags),Groceries,12.49,1,12.49,0,2025-05-09 14:58:30,Debit Card,Refunded,CA,Desktop,SES278041,3.75,2.12
TXN000110,162,107,LED Desk Lamp,Electronics,42.99,1,42.99,0,2025-09-03 14:58:30,Credit Card,Pending,CA,Tablet,SES501307,12.9,3.11
TXN000111,710,105,Stainless Steel Water Bottle,Home & Kitchen,22.49,3,67.47,10,2024-12-02 14:58:30,Credit Card,Completed,CA,Mobile,SES712886,20.24,12.83
TXN000112,1044,115,Noise Cancelling Earbuds,Electronics,179.99,3,539.97,10,2024-12-15 14:58:30,Debit Card,Completed,FL,Desktop,SES154720,161.99,9.32
TXN000113,319,109,Wireless Mouse,Electronics,26.99,1,26.99,10,2024-10-18 14:58:30,Google Pay,Completed,IL,Mobile,SES145808,8.1,1.16
TXN000114,11,111,Organic Protein Powder,Health,54.99,1,54.99,0,2025-11-02 14:58:30,Debit Card,Refunded,CA,Tablet,SES459884,16.5,1.73
TXN000115,173,111,Organic Protein Powder,Health,49.49,1,49.49,10,2025-11-24 14:58:30,Credit Card,Completed,CA,Mobile,SES508426,14.85,7.95
TXN000116,832,103,Running Shoes - Nike Air,Sports,116.99,1,116.99,10,2025-04-12 14:58:30,Google Pay,Pending,NY,Tablet,SES601188,35.1,13.7
TXN000117,203,104,Python Programming Book,Books,40.5,2,81.0,10,2025-07-21 14:58:30,Credit Card,Completed,CA,Mobile,SES495169,24.3,3.86
TXN000118,643,116,Smart Home Speaker,Electronics,99.99,1,99.99,0,2024-05-24 14:58:30,Google Pay,Refunded,PA,Desktop,SES528351,30.0,9.25
TXN000119,23,104,Python Programming Book,Books,40.5,1,40.5,10,2024-06-19 14:58:30,Credit Card,Completed,CA,Desktop,SES215116,12.15,11.17
TXN000120,947,106,Yoga Mat Premium,Sports,26.99,1,26.99,25,2025-03-11 14:58:30,Credit Card,Refunded,TX,Desktop,SES192444,8.1,12.42
TXN000121,870,115,Noise Cancelling Earbuds,Electronics,199.99,1,199.99,0,2024-09-29 14:58:30,Debit Card,Completed,MI,Mobile,SES396726,60.0,6.0
TXN000122,948,103,Running Shoes - Nike Air,Sports,129.99,1,129.99,0,2025-11-23 14:58:30,Credit Card,Refunded,IL,Mobile,SES760965,39.0,1.74
TXN000123,391,115,Noise Cancelling Earbuds,Electronics,199.99,1,199.99,0,2024-10-26 14:58:30,Credit Card,Completed,TX,Mobile,SES601596,60.0,13.07
TXN000124,984,108,Coffee Maker 12-Cup,Home & Kitchen,89.99,1,89.99,0,2024-01-12 14:58:30,Apple Pay,Refunded,CA,Mobile,SES184628,27.0,8.61
TXN000125,652,119,Instant Pot 6-Quart,Home & Kitchen,89.99,1,89.99,0,2025-04-23 14:58:30,Google Pay,Cancelled,FL,Mobile,SES194191,27.0,4.97
TXN000126,159,119,Instant Pot 6-Quart,Home & Kitchen,76.49,1,76.49,15,2024-11-04 14:58:30,PayPal,Completed,IL,Tablet,SES368775,22.95,13.92
TXN000127,930,108,Coffee Maker 12-Cup,Home & Kitchen,71.99,1,71.99,20,2025-11-14 14:58:30,Apple Pay,Completed,TX,Desktop,SES231432,21.6,8.99
TXN000128,915,105,Stainless Steel Water Bottle,Home & Kitchen,24.99,1,24.99,0,2024-01-05 14:58:30,Debit Card,Completed,MA,Desktop,SES652228,7.5,12.94
TXN000129,891,120,Data Science Handbook,Books,59.99,1,59.99,0,2025-05-16 14:58:30,Google Pay,Completed,TX,Mobile,SES882791,18.0,0.56
TXN000130,398,112,Mechanical Keyboard,Electronics,119.99,1,119.99,0,2024-03-17 14:58:30,Credit Card,Pending,TX,Mobile,SES246736,36.0,0.4
TXN000131,66,107,LED Desk Lamp,Electronics,42.99,1,42.99,0,2025-12-06 14:58:30,Credit Card,Pending,CA,Mobile,SES563205,12.9,14.43
TXN000132,131,118,Hiking Backpack 40L,Sports,79.99,1,79.99,0,2024-11-02 14:58:30,Apple Pay,Pending,CA,Desktop,SES240013,24.0,8.28
TXN000133,302,115,Noise Cancelling Earbuds,Electronics,199.99,1,199.99,0,2025-03-01 14:58:30,Debit Card,Completed,CA,Mobile,SES808409,60.0,1.72
TXN000134,260,103,Running Shoes - Nike Air,Sports,129.99,1,129.99,0,2025-02-01 14:58:30,Google Pay,Completed,CA,Mobile,SES597798,39.0,3.92
TXN000135,752,119,Instant Pot 6-Quart,Home & Kitchen,80.99,1,80.99,10,2025-10-11 14:58:30,Debit Card,Refunded,MI,Mobile,SES466749,24.3,7.93
TXN000136,927,103,Running Shoes - Nike Air,Sports,129.99,1,129.99,0,2024-07-09 14:58:30,Credit Card,Completed,FL,Mobile,SES698769,39.0,3.33
TXN000137,29,104,Python Programming Book,Books,38.25,1,38.25,15,2024-10-24 14:58:30,Credit Card,Cancelled,CA,Mobile,SES829690,11.48,8.43
TXN000138,941,116,Smart Home Speaker,Electronics,99.99,1,99.99,0,2025-08-31 14:58:30,Credit Card,Completed,CO,Desktop,SES269182,30.0,14.41
TXN000139,191,116,Smart Home Speaker,Electronics,84.99,1,84.99,15,2024-01-24 14:58:30,Apple Pay,Completed,IL,Mobile,SES860732,25.5,3.42
TXN000140,936,120,Data Science Handbook,Books,59.99,1,59.99,0,2025-08-18 14:58:30,Google Pay,Completed,CA,Mobile,SES181886,18.0,1.12
TXN000141,485,103,Running Shoes - Nike Air,Sports,129.99,1,129.99,0,2024-05-13 14:58:30,PayPal,Completed,TX,Desktop,SES648252,39.0,1.91
TXN000142,95,117,Portable Charger 20000mAh,Electronics,39.99,1,39.99,0,2024-03-04 14:58:30,Google Pay,Completed,TX,Tablet,SES701024,12.0,12.16
TXN000143,457,111,Organic Protein Powder,Health,49.49,1,49.49,10,2023-12-22 14:58:30,Google Pay,Pending,FL,Mobile,SES728416,14.85,1.09
TXN000144,577,111,Organic Protein Powder,Health,54.99,1,54.99,0,2025-10-20 14:58:30,Credit Card,Completed,FL,Desktop,SES933155,16.5,4.99
TXN000145,985,118,Hiking Backpack 40L,Sports,79.99,1,79.99,0,2024-05-29 14:58:30,PayPal,Refunded,NY,Desktop,SES769441,24.0,13.51
TXN000146,627,102,Organic Green Tea (50 bags),Groceries,12.49,1,12.49,0,2024-02-08 14:58:30,PayPal,Completed,TX,Tablet,SES406239,3.75,1.67
TXN000147,337,108,Coffee Maker 12-Cup,Home & Kitchen,89.99,1,89.99,0,2025-09-29 14:58:30,Debit Card,Completed,CA,Desktop,SES545002,27.0,10.02
TXN000148,268,117,Portable Charger 20000mAh,Electronics,39.99,2,79.98,0,2025-09-29 14:58:30,Apple Pay,Completed,WA,Mobile,SES429206,23.99,14.34
TXN000149,571,120,Data Science Handbook,Books,53.99,1,53.99,10,2025-11-09 14:58:30,Debit Card,Completed,IL,Mobile,SES173044,16.2,6.2
TXN000150,1010,113,Air Purifier HEPA,Home & Kitchen,199.99,2,399.98,0,2024-11-23 14:58:30,Credit Card,Pending,MI,Desktop,SES955408,119.99,10.05
TXN000151,958,117,Portable Charger 20000mAh,Electronics,39.99,1,39.99,0,2025-01-20 14:58:30,Debit Card,Cancelled,TX,Tablet,SES518670,12.0,3.78
TXN000152,126,118,Hiking Backpack 40L,Sports,79.99,1,79.99,0,2025-03-23 14:58:30,Apple Pay,Pending,CA,Desktop,SES294058,24.0,11.3
TXN000153,267,113,Air Purifier HEPA,Home & Kitchen,199.99,1,199.99,0,2024-03-09 14:58:30,Debit Card,Pending,TX,Desktop,SES701060,60.0,9.6
TXN000154,237,104,Python Programming Book,Books,45.0,2,90.0,0,2025-11-09 14:58:30,Google Pay,Completed,WA,Desktop,SES377073,27.0,4.69
TXN000155,590,109,Wireless Mouse,Electronics,29.99,2,59.98,0,2024-06-28 14:58:30,Debit Card,Completed,PA,Desktop,SES322941,17.99,0.57
TXN000156,111,120,Data Science Handbook,Books,53.99,2,107.98,10,2024-05-14 14:58:30,Google Pay,Cancelled,NY,Mobile,SES447219,32.39,7.01
TXN000157,902,110,Fitness Tracker Watch,Electronics,127.49,1,127.49,15,2024-07-18 14:58:30,PayPal,Completed,FL,Desktop,SES124604,38.25,6.72
TXN000158,799,105,Stainless Steel Water Bottle,Home & Kitchen,24.99,1,24.99,0,2025-02-15 14:58:30,Debit Card,Completed,TX,Desktop,SES880120,7.5,12.53
TXN000159,906,101,Wireless Bluetooth Headphones,Electronics,67.99,1,67.99,15,2024-01-15 14:58:30,Apple Pay,Refunded,FL,Desktop,SES615095,20.4,5.64
TXN000160,1027,108,Coffee Maker 12-Cup,Home & Kitchen,67.49,1,67.49,25,2024-03-03 14:58:30,Credit Card,Completed,CA,Desktop,SES842577,20.25,4.01
TXN000161,123,117,Portable Charger 20000mAh,Electronics,39.99,1,39.99,0,2024-11-02 14:58:30,Credit Card,Cancelled,CA,Desktop,SES871452,12.0,12.67
TXN000162,178,116,Smart Home Speaker,Electronics,99.99,1,99.99,0,2025-08-21 14:58:30,PayPal,Completed,TX,Mobile,SES353913,30.0,5.12
TXN000163,836,109,Wireless Mouse,Electronics,25.49,3,76.47,15,2024-02-05 14:58:30,Debit Card,Completed,PA,Mobile,SES290031,22.94,6.02
TXN000164,987,105,Stainless Steel Water Bottle,Home & Kitchen,21.24,1,21.24,15,2025-06-26 14:58:30,Apple Pay,Completed,IL,Mobile,SES722492,6.37,12.25
TXN000165,560,113,Air Purifier HEPA,Home & Kitchen,199.99,2,399.98,0,2025-06-02 14:58:30,Debit Card,Completed,MA,Mobile,SES311617,119.99,2.8
TXN000166,1038,110,Fitness Tracker Watch,Electronics,149.99,1,149.99,0,2024-04-17 14:58:30,PayPal,Pending,TX,Mobile,SES458750,45.0,7.18
